,Price,Address,City,Beds,Baths,Half Beds,Sqft
0,"$95,000",210MStreet,RockSpringsWY82901,3beds,2baths, , 
1,"$95,000",1438RaindanceDrive,RockSpringsWY82901,2beds,1bath,1halfbath, 
2,"$415,000",310CollegeLane,RockSpringsWY82901,4beds,3baths, , 
