,Price,Address,City,Beds,Baths,Half Beds,Sqft
0,"$215,000",1362Sublette,RockSpringsWY82901,5beds, , , 
1,"$384,900",301PinnacleDrive,RockSpringsWY82901,4beds,3baths, , 
2,"$220,000",3420MadisonDr,RockSpringsWY82901,4beds,1bath,1halfbath,"1,632sq.ft"
3,"$205,000",1021PilotButte,RockSpringsWY82901,3beds,2baths, ,"1,269sq.ft"
